Year,Area_Burned (Acres),Homes_Destroyed,Fatalities,Estimated_Financial_Loss (Million $),            Electricity,            Natural gas,          Air transportation,          Children's and infants' clothing,          Commercial and vocational schools,          Dental services,          Electricity and gas,"          Financial service charges, fees, and commissions",          Financial services furnished without payment,          Food furnished to employees (including military),          Foreign travel by U.S. residents,          Ground transportation,          Group housing,          Higher education,          Hospitals,          Imputed rental of owner-occupied nonfarm housing,          Internet access,          Less: Expenditures in the United States by nonresidents,          Life insurance,          Men's and boys' clothing,          Motor vehicle maintenance and repair,          Net health insurance,          Net household insurance,          Net motor vehicle and other transportation insurance,"          Nursery, elementary, and secondary schools",          Nursing homes,          Other motor vehicle services,          Paramedical services,          Physician services,          Postal and delivery services,          Purchased meals and beverages,          Rental of tenant-occupied nonfarm housing,          Rental value of farm dwellings,          Telecommunication services,          Water supply and sanitation,          Water transportation,          Women's and girls' clothing,        Accommodations,        Alcoholic beverages purchased for off-premises consumption,"        Audio-video, photographic, and information processing equipment services",        Communication,        Education services,        Educational books,        Financial services,        Food and nonalcoholic beverages purchased for off-premises consumption,        Food produced and consumed on farms,        Food services,        Fuel oil and other fuels,        Furniture and furnishings,        Gambling,        Garments,"        Glassware, tableware, and household utensils",        Hospital and nursing home services,        Household appliances,        Household maintenance,        Household supplies,        Household utilities,        Housing,        Insurance,        Jewelry and watches,        Luggage and similar personal items,"        Magazines, newspapers, and stationery","        Membership clubs, sports centers, parks, theaters, and museums","        Motor vehicle fuels, lubricants, and fluids",        Motor vehicle parts and accessories,        Motor vehicle services,        Musical instruments,        Net foreign travel,        Net purchases of used motor vehicles,        New motor vehicles,        Other clothing materials and footwear,        Other recreational services,        Outpatient services,        Personal care and clothing services,        Personal care products,        Pharmaceutical and other medical products,        Professional and other services,        Public transportation,        Recreational books,        Recreational items,        Social services and religious activities,"        Sporting equipment, supplies, guns, and ammunition",        Sports and recreational vehicles,        Telephone and related communication equipment,        Therapeutic appliances and equipment,        Tobacco,        Tools and equipment for house and garden,"        Video, audio, photographic, and information processing equipment and media",      Clothing and footwear,      Financial services and insurance,      Food and beverages purchased for off-premises consumption,      Food services and accommodations,      Furnishings and durable household equipment,      Gasoline and other energy goods,      Gross output of nonprofit institutions,      Health care,      Housing and utilities,      Less: Receipts from sales of goods and services by nonprofit institutions,      Motor vehicles and parts,      Other durable goods,      Other nondurable goods,      Other services,      Recreation services,      Recreational goods and vehicles,      Transportation services,    Durable goods,    Final consumption expenditures of nonprofit institutions serving households (NPISHs),    Household consumption expenditures (for services),    Nondurable goods,  Goods,  Services,Personal consumption expenditures,Avg_HPI
2014,292258,15616,103,22034.1,14996.2,4212.0,14702.7,2402.2,7048.8,13891.6,19208.3,45189.5,34653.4,2085.9,18217.1,4549.5,383.4,22030.3,98204.7,176408.5,7629.0,24313.2,8880.8,13891.8,21545.2,23129.4,899.2,7993.9,4497.3,15387.3,22481.7,43332.5,67296.8,1536.2,83028.7,86805.6,1465.8,21068.2,13146.1,440.3,23888.3,18786.4,15464.8,16047.0,30233.4,33576.4,1883.3,79842.9,95278.1,25.2,85114.6,1263.0,18057.5,16775.1,40182.3,4958.4,113592.0,6606.6,9778.9,14665.2,32354.4,265063.2,40903.2,10049.7,4575.7,4948.3,38302.8,38699.2,6616.3,44026.9,573.2,-6096.1,9376.9,28982.6,10975.0,7162.4,124520.9,17982.9,13597.9,41399.4,25174.4,19692.4,3623.0,16339.1,19241.0,8860.9,4019.6,3397.8,4979.6,7629.1,2951.9,27048.7,51157.3,120746.2,110768.0,103901.0,32574.4,39962.2,175954.4,238112.9,297417.6,132841.6,44975.8,24886.1,98579.2,129890.8,78287.2,44125.3,63719.4,146561.7,43112.8,1032075.0,300466.8,447028.4,1075187.8,1522216.3,209.78116666666668
2015,335017,6637,61,20635.89,15399.2,3748.8,13879.9,2591.7,7427.1,14392.6,19148.0,45523.0,39704.3,2290.5,19166.9,4934.7,382.2,22464.7,108398.6,181187.3,8586.9,26496.3,9119.8,14616.5,21878.4,24241.2,994.4,8242.2,4897.7,15653.4,22454.7,49464.0,70691.8,1611.4,91332.9,89990.3,1634.7,20013.7,13011.0,485.2,24675.1,20644.6,16839.7,16451.8,30212.0,34789.5,1801.9,85227.2,100745.3,61.5,93623.4,1073.9,19594.8,17478.4,41883.3,5059.1,124052.0,6974.1,9985.0,15187.6,32159.0,273194.5,42597.6,10231.8,4822.8,5238.5,42124.0,30093.4,7198.4,44333.1,587.3,-7329.4,11358.0,30714.0,11596.1,7730.6,134548.4,19077.5,14127.2,44001.4,26694.4,19299.8,4169.0,17560.9,20822.3,8827.6,4516.0,3707.7,5106.7,8321.5,3264.4,27755.0,53479.4,127824.9,117646.6,114268.0,34892.3,31167.4,186268.9,258600.4,305353.5,140679.3,49270.4,25670.9,104437.1,134251.2,83784.8,45854.8,63632.9,155688.4,45589.6,1087715.8,306730.4,462418.8,1133305.3,1595724.1,220.41033333333334
2016,221408,7365,109,22327.25,16152.3,4115.7,13788.4,2698.9,7817.3,15021.1,20268.0,45881.2,41446.6,2573.8,19934.8,6652.3,350.8,22859.8,113058.1,189879.0,9695.8,25688.6,7731.1,15126.3,23317.0,25757.5,1079.0,8533.0,5638.6,16399.9,21971.1,55376.2,72344.8,1738.8,98613.5,93394.5,1443.7,20118.0,13264.3,525.9,25249.5,21775.0,17760.4,16610.4,31552.6,36315.8,1768.1,87327.8,102134.5,49.1,101187.3,956.2,20070.6,18152.8,43074.7,5007.0,129458.0,7198.2,10170.7,15365.3,33532.3,285067.9,43100.5,9969.1,5071.4,5535.1,46087.5,28337.7,7799.0,45288.2,565.8,-5753.8,12630.2,30923.2,12227.8,8538.3,142742.1,19675.2,14652.4,45935.1,27738.3,20966.5,4407.6,18326.4,23056.2,8638.4,5104.9,3409.3,5274.8,8886.7,3651.3,27145.2,55302.5,130428.3,119943.9,122962.3,35927.1,29293.9,199717.7,272200.1,318600.2,148283.8,51352.4,25492.7,108700.9,142755.2,89389.0,45861.8,66254.7,158634.0,51433.9,1142589.9,313241.3,471875.3,1194023.8,1665899.0,232.69549999999998
2017,67059,3863,46,13745.34,17249.7,4744.6,14667.5,2865.4,8403.5,15988.4,21994.2,48857.1,45242.9,2762.1,21658.4,7744.5,321.3,23286.7,115668.1,201328.4,10182.0,26011.2,8526.4,16134.5,24573.1,27654.3,1117.2,8820.2,5824.8,16492.1,21101.5,62238.9,77062.6,1758.7,103998.1,95304.1,1509.2,20703.3,14248.4,617.9,26670.0,23204.9,18646.6,16049.4,32644.0,37515.0,1617.3,94100.0,105744.5,58.0,106760.2,1205.0,20996.5,19560.5,45669.8,4995.2,132160.1,7461.9,10419.6,15582.2,36242.6,298463.0,46118.2,10246.7,5085.3,6066.7,49222.1,33172.9,8279.6,45674.6,573.8,-4352.8,13831.0,31976.5,13072.5,9931.9,155289.8,20492.6,14936.1,46662.9,29233.1,23029.9,4798.2,19075.6,25066.1,7593.1,5537.1,3471.4,5336.4,9366.2,4092.4,29782.1,58742.3,140218.2,124449.1,129965.1,37546.0,34377.9,204793.5,287450.0,334705.6,154428.9,54087.1,25757.0,111689.7,151017.7,94763.9,48284.4,68704.5,165674.6,50364.6,1206824.9,329259.1,494933.6,1257189.5,1752123.2,247.05075
2018,286662,13066,112,30937.25,17625.8,4705.6,16138.2,2849.1,9195.6,17240.2,22331.3,51358.5,46955.0,2889.9,22543.7,10626.5,344.5,23656.8,125141.2,211057.8,11302.9,26634.0,8264.7,16580.0,25767.5,32099.7,1088.9,8206.2,6044.4,17277.3,21674.8,66506.5,79960.4,1937.0,111688.3,100219.8,1801.6,20620.8,15255.8,692.6,27732.4,24335.9,19667.3,15829.2,33860.7,38896.7,1580.1,98313.5,109392.3,58.3,114578.2,1249.5,23133.3,19693.0,47161.5,5266.5,142418.5,7865.1,11541.0,16117.9,37587.1,313423.8,49659.6,10773.4,5217.4,7000.4,52456.5,37950.0,8349.4,47442.3,622.7,-4090.3,14452.0,31929.4,13675.8,10694.7,163707.1,21386.7,15704.7,49349.7,30323.8,27457.4,5079.2,19915.2,26978.4,7894.0,5703.9,3637.2,5697.2,9485.5,4335.0,34205.6,60837.3,147973.0,129117.9,138914.1,40600.0,39199.5,220382.8,306125.6,351010.9,163229.0,54730.8,26905.4,117573.5,158897.1,98673.5,53505.4,74899.6,175741.6,57153.7,1276493.8,346728.2,522469.8,1333647.5,1856117.3,262.3449166666667
2019,204166,6657,77,23323.0,17673.3,5231.2,18028.5,2903.3,9518.6,18411.7,22904.5,53619.0,47617.3,2982.8,24371.0,12631.1,347.6,24119.4,133343.6,220452.8,11466.8,27164.7,8069.7,17141.5,26368.3,30060.3,1187.9,8738.7,6315.2,18483.5,22336.0,70979.1,83797.6,1932.8,119325.6,106863.2,1418.2,21990.5,16057.0,727.2,28733.1,26825.5,20669.6,16209.2,35390.0,39953.2,1497.4,101236.3,114203.3,63.5,122308.3,1198.9,23366.6,20297.0,48777.9,5308.1,151827.2,8034.6,12284.4,16692.8,38961.5,329081.8,48056.6,11170.0,5529.8,7710.4,56777.9,37430.3,8442.3,48704.3,648.6,-2793.7,13296.4,30946.4,14274.5,11288.4,173188.3,22730.5,16327.6,52707.0,31972.2,31386.8,5135.0,21020.9,29025.5,8324.3,5726.7,3659.5,6068.5,9541.1,4410.7,37695.2,63052.4,149292.9,134936.4,149133.8,41119.9,38629.2,229944.2,325015.5,368043.3,173392.0,52685.0,27925.2,123999.8,168562.0,104572.5,57529.7,80091.2,179259.7,56552.2,1344711.2,360617.8,539877.6,1401263.4,1941141.0,275.867
2020,210763,7424,104,20400.760000000002,19699.6,5231.4,6276.8,2555.7,8730.4,14895.4,24930.9,55909.3,47192.6,2543.9,6846.0,8112.8,290.0,24236.7,125841.4,236487.0,12129.5,9353.5,7822.4,14747.0,24254.8,31234.8,1235.0,8446.8,6079.9,17550.4,19699.1,70679.7,80081.5,2227.8,101184.3,109192.7,1535.0,22662.3,15826.1,442.8,25000.7,18925.1,24030.0,15929.5,37019.6,39047.0,1262.6,103102.0,126283.7,69.8,103728.2,962.7,24580.9,16812.3,42303.4,5639.4,143391.7,8753.2,12400.5,18205.5,40757.0,347504.7,48739.1,11044.7,5197.3,9289.0,30400.0,27397.0,8409.6,43953.9,660.1,-2507.5,11935.2,30203.1,12621.8,8578.0,165656.6,14650.3,17015.4,56062.2,32543.8,14832.5,5444.4,23920.3,30244.7,9959.9,6624.2,3243.2,6023.0,9963.4,5167.7,42181.3,54925.2,151841.0,150383.4,122653.4,44141.2,28359.8,235132.4,309048.3,388261.7,167020.9,50547.8,26770.8,134455.8,163398.4,71719.7,64869.9,58786.4,186329.8,68111.4,1265708.9,368124.2,554453.9,1333820.4,1888274.3,297.87666666666667
2021,347909,13944,131,37069.46,21612.3,6310.2,13056.7,3184.1,10031.4,18562.6,27922.5,62829.8,51877.9,2769.4,12856.0,9491.4,240.4,24597.9,140799.7,247874.6,14355.4,11347.1,8597.7,18822.7,28501.5,32338.8,1218.0,9758.6,7029.0,18324.0,21460.8,81164.2,89095.5,2691.0,129240.4,115318.7,1575.4,23510.5,16627.6,706.5,31961.3,26028.5,26278.9,17137.4,40556.8,41658.4,1578.5,114707.7,136959.5,67.3,132009.7,1431.3,30824.5,22325.0,53968.1,6724.8,159123.7,10407.0,13274.2,20042.3,44550.2,365009.1,51913.0,15130.7,6794.0,10547.4,39943.9,41426.1,10290.4,49962.3,792.0,1508.8,18129.8,37844.9,16100.3,10086.3,188822.3,22103.3,19493.5,58000.6,35945.0,23254.7,6291.0,28929.7,34870.6,12792.9,7901.8,3803.1,7287.3,10341.9,5973.6,50461.4,70068.4,166620.7,163305.7,158038.2,53929.9,42857.4,252722.6,347946.0,409559.3,187700.3,66265.0,34593.6,147355.5,189917.1,89492.6,78239.0,73217.0,233027.6,65022.3,1434790.8,423586.9,656614.5,1499813.1,2156427.6,348.4505
2022,295972,9246,133,26704.28,25101.0,8011.1,20992.4,3425.8,11182.1,20556.3,33112.1,61652.9,58986.3,3310.5,29030.8,12179.4,284.9,25482.3,147486.9,267429.5,14351.2,22765.6,9549.3,20543.8,33224.9,33149.5,1265.3,9776.8,7427.5,19785.5,21739.1,87537.2,94429.6,2599.8,150611.0,122285.2,1748.7,23490.5,17437.0,957.6,34613.4,33115.2,27488.9,17872.6,40441.5,44091.9,1528.9,120639.1,149542.1,65.8,153921.5,2014.2,32683.0,24149.7,58583.0,7496.7,167272.4,11064.6,14362.6,21809.5,50549.1,391748.4,53740.8,16129.2,7731.8,10823.6,56058.3,54633.2,11233.3,54964.0,840.7,6265.2,18002.8,40608.7,17188.3,13124.4,202523.2,26568.1,21175.6,63345.2,37552.1,34129.4,5957.8,31778.0,38163.7,12589.8,7961.3,4129.1,7893.4,10190.4,6276.5,53647.9,75771.3,174380.0,177096.8,187036.7,57520.7,56647.4,273557.9,369795.6,442297.5,196422.0,69844.8,37412.4,159122.2,207445.2,111205.1,80997.5,89093.4,245775.3,77136.0,1581253.3,468637.6,714413.0,1658389.3,2372802.3,395.0493333333333
2023,391932,10371,117,22432.6,26576.3,6956.9,23569.8,3447.0,12464.5,21553.5,33533.2,62308.0,67802.2,3622.9,40218.1,14483.6,326.7,26073.3,158745.6,290044.7,15736.8,29223.9,11421.2,21263.2,34863.7,34153.0,1376.4,10397.8,7756.6,22605.7,22075.1,98141.4,103158.9,2578.8,163304.7,130650.5,1885.8,23376.5,18482.7,1011.6,35432.6,35246.6,28449.4,17894.2,41692.2,46294.4,1535.2,130110.2,154945.7,51.5,166927.6,1656.7,32983.8,26087.7,60142.8,7807.7,181351.4,10952.9,14683.9,22464.0,52015.8,422907.6,57348.4,15721.0,8059.6,11861.0,66119.4,49784.2,11589.9,56938.8,878.8,10994.1,16753.8,42618.4,17658.6,15262.5,222853.8,29929.2,22282.3,69264.1,39318.2,39065.0,6091.5,33411.7,42749.3,13223.5,7305.6,4325.6,8268.1,9829.7,6245.9,53644.4,77801.4,187458.6,183446.5,202174.2,57990.4,51440.9,293558.9,404205.2,474923.5,212866.2,70962.1,37909.6,169112.8,225661.2,125363.8,81143.8,96003.8,248005.8,80692.7,1715790.2,481801.6,729807.4,1796482.9,2526290.3,413.2895
