SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1
SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1
State or DC
GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
06000,California,1,Personal consumption expenditures,681820.9,722322.0,776324.7,844374.3,886833.1,924960.4,975445.5,1041764.2,1114921.0,1186034.5,1256410.5,1295036.3,1253678.5,1297976.1,1354341.6,1409173.4,1453927.1,1522216.3,1595724.1,1665899.0,1752123.2,1856117.3,1941141.0,1888274.3,2156427.6,2372802.3,2526290.3
06000,California,2,"  Goods",224126.9,237362.4,260734.0,287618.0,299077.8,312031.9,326318.3,349329.1,370540.4,388294.8,402563.5,394224.5,360242.9,376922.9,400567.8,418651.8,428445.0,447028.4,462418.8,471875.3,494933.6,522469.8,539877.6,554453.9,656614.5,714413.0,729807.4
06000,California,3,"    Durable goods",81121.1,90335.7,101814.7,113290.1,118545.1,124816.1,128728.6,137577.8,145438.6,149470.4,150545.7,135532.2,119648.2,123966.8,129348.0,136883.0,140506.4,146561.7,155688.4,158634.0,165674.6,175741.6,179259.7,186329.8,233027.6,245775.3,248005.8
06000,California,4,"      Motor vehicles and parts",27391.4,31216.2,35694.0,38083.9,41007.8,43952.3,44153.6,45680.7,46987.5,45106.1,43530.8,35933.2,30781.1,32287.7,35193.7,39545.9,42208.4,44975.8,49270.4,51352.4,54087.1,54730.8,52685.0,50547.8,66265.0,69844.8,70962.1
06000,California,5,"        New motor vehicles",16702.6,19327.4,22554.3,24347.0,26921.0,29296.5,30172.0,30781.1,31311.9,29490.5,28112.3,21759.3,18026.0,19082.6,22113.4,26078.6,27544.8,28982.6,30714.0,30923.2,31976.5,31929.4,30946.4,30203.1,37844.9,40608.7,42618.4
06000,California,6,"        Net purchases of used motor vehicles",6966.8,8022.1,9000.9,9321.1,9603.1,10290.1,9434.8,10008.2,10340.0,10077.2,9731.5,8651.8,7719.4,7942.2,7438.5,7624.0,8405.7,9376.9,11358.0,12630.2,13831.0,14452.0,13296.4,11935.2,18129.8,18002.8,16753.8
06000,California,7,"        Motor vehicle parts and accessories",3722.0,3866.8,4138.8,4415.8,4483.8,4365.6,4546.8,4891.4,5335.6,5538.4,5687.0,5522.1,5035.7,5262.9,5641.8,5843.3,6257.9,6616.3,7198.4,7799.0,8279.6,8349.4,8442.3,8409.6,10290.4,11233.3,11589.9
06000,California,8,"      Furnishings and durable household equipment",17754.3,19532.2,22221.3,25320.0,27038.9,28307.2,29604.1,31903.7,34220.6,35917.8,35544.5,31866.7,28538.7,29197.8,29839.3,30311.2,31094.7,32574.4,34892.3,35927.1,37546.0,40600.0,41119.9,44141.2,53929.9,57520.7,57990.4
06000,California,9,"        Furniture and furnishings",9732.3,10670.8,12166.2,13929.5,14854.2,15523.8,16416.0,17980.6,19438.9,20540.7,20517.5,17982.3,15938.9,16303.9,16928.3,17014.8,17172.4,18057.5,19594.8,20070.6,20996.5,23133.3,23366.6,24580.9,30824.5,32683.0,32983.8
06000,California,10,"        Household appliances",3448.0,3789.9,4241.1,4841.9,4987.5,5015.9,5103.5,5372.0,5783.1,6056.1,5950.0,5600.7,4889.8,5170.3,5388.7,5929.0,6291.1,6606.6,6974.1,7198.2,7461.9,7865.1,8034.6,8753.2,10407.0,11064.6,10952.9
