hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,1,100.00,100.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,2,100.87,100.86
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,3,101.32,100.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,4,101.73,100.97
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,5,102.32,101.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,6,102.80,101.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,7,103.01,101.85
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,8,103.13,102.01
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,9,102.85,102.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,10,103.08,102.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,11,103.98,103.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1991,12,103.73,103.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,1,103.85,103.86
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,2,104.36,104.34
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,3,105.53,105.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,4,105.92,105.14
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,5,106.51,105.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,6,106.95,105.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,7,107.12,105.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,8,107.53,106.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,9,107.53,106.62
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,10,108.17,107.29
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,11,108.41,107.72
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1992,12,108.75,108.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,1,108.38,108.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,2,108.34,108.31
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,3,109.19,108.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,4,110.19,109.36
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,5,110.79,109.69
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,6,111.93,110.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,7,112.12,110.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,8,112.59,111.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,9,113.05,112.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,10,113.21,112.27
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,11,113.51,112.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1993,12,113.79,113.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,1,114.03,114.14
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,2,114.38,114.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,3,115.09,114.73
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,4,116.26,115.38
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,5,117.12,115.94
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,6,117.85,116.25
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,7,117.89,116.48
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,8,118.27,116.93
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,9,118.30,117.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,10,118.91,117.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,11,119.08,118.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1994,12,118.84,118.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,1,119.02,119.20
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,2,119.88,119.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,3,120.37,120.01
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,4,121.68,120.76
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,5,121.98,120.70
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,6,123.19,121.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,7,123.64,122.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,8,124.22,122.79
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,9,124.48,123.32
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,10,124.75,123.70
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,11,124.62,123.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1995,12,125.04,124.70
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,1,124.86,125.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,2,125.86,125.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,3,126.65,126.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,4,128.20,127.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,5,128.91,127.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,6,129.45,127.68
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,7,130.05,128.39
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,8,129.80,128.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,9,129.99,128.74
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,10,129.81,128.72
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,11,130.65,129.93
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1996,12,130.48,130.18
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,1,129.92,130.25
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,2,130.55,130.48
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,3,131.70,131.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,4,132.08,131.15
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,5,133.48,131.98
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,6,133.98,132.17
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,7,134.32,132.53
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,8,134.50,132.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,9,134.44,133.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,10,134.74,133.62
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,11,134.66,133.96
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1997,12,134.54,134.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,1,134.43,134.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,2,135.64,135.60
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,3,136.50,136.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,4,137.27,136.34
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,5,138.35,136.74
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,6,139.30,137.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,7,139.63,137.73
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,8,139.95,138.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,9,140.50,139.06
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,10,141.01,139.84
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,11,141.41,140.74
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1998,12,141.28,141.08
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,1,141.24,141.58
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,2,142.45,142.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,3,143.35,142.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,4,144.17,143.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,5,145.89,144.18
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,6,146.69,144.69
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,7,147.40,145.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,8,148.12,146.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,9,148.09,146.52
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,10,148.49,147.24
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,11,148.15,147.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",1999,12,148.41,148.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,1,149.54,149.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,2,149.18,149.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,3,151.14,150.58
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,4,152.22,151.23
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,5,153.38,151.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,6,154.73,152.60
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,7,155.50,153.29
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,8,155.73,153.75
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,9,155.87,154.17
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,10,155.96,154.60
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,11,155.82,155.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2000,12,156.21,156.11
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,1,156.38,156.77
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,2,157.32,157.45
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,3,158.43,157.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,4,159.72,158.68
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,5,161.04,159.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,6,161.84,159.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,7,162.52,160.16
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,8,162.82,160.66
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,9,163.11,161.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,10,163.86,162.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,11,163.29,162.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2001,12,163.21,163.14
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,1,163.55,164.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,2,164.06,164.32
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,3,165.56,165.08
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,4,166.41,165.29
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,5,168.04,165.99
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,6,169.22,166.81
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,7,169.70,167.17
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,8,170.05,167.71
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,9,170.54,168.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,10,170.59,169.01
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,11,170.95,170.15
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2002,12,170.38,170.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,1,170.92,171.59
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,2,171.48,171.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,3,172.55,172.15
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,4,174.02,172.81
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,5,175.83,173.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,6,176.54,173.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,7,177.51,174.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,8,178.09,175.53
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,9,178.11,176.01
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,10,178.62,176.96
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,11,178.57,177.77
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,12,178.62,178.69
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,1,177.57,178.44
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,2,179.33,179.95
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,3,180.49,180.20
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,4,182.09,180.77
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,5,183.98,181.44
